category,model_name,score_mean,ci95_low,ci95_high,score_median,score_std,n
"Art, History",SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,,1
"Tradition, Region",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,,1
"Religion, Austerity",SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,,1
"Rural, Water Crisis",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,0.0,5
"Rural, Water Crisis",openai_dalle_3,5.0,5.0,5.0,5.0,,1
"Festival, Attire",flux1_1_pro,5.0,5.0,5.0,5.0,,1
"Festival, Attire",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,,1
"Festival, Attire",SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,0.0,5
"Sports, Childhood",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,,1
"Education, Youth & Women",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,0.0,7
"Education, Rural",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,,1
"Sports, Region",SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,,1
Diversity & Inclusion,SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,0.0,6
"Culture, Religion",openai_dalle_3,5.0,5.0,5.0,5.0,,1
"Culture, Region",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,,1
"Culture, Region",SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,,1
"Culture, Oral Tradition",SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,,1
"Rural, Water Crisis",SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,,1
"Ritual, Rural",SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,,1
"LGBTQ+, Religion",SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,,1
"Religion, Education",SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,5.0,5.0,5.0,5.0,,1
Religion,flux1_1_pro,5.0,5.0,5.0,5.0,0.0,7
