category,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
"Art, History",2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903
"Art, Region",1.632993161855452,1.632993161855452,1.632993161855452,1.632993161855452
"Art, Regional",2.3094010767585034,2.3094010767585034,2.3094010767585034,2.3094010767585034
"Art, Tribal",,,,
"Arts, Music & Pop Culture",1.7940047905739942,1.754235038379374,1.7869318069466222,1.7828775038060152
"Attire, Region",2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903
Caste,0.7559289460184545,0.7559289460184545,0.7559289460184545,0.0
Caste Discrimination,2.3094010767585034,2.3094010767585034,2.3094010767585034,2.3094010767585034
"Caste, Dance, Religion",1.3333333333333335,1.3333333333333335,1.3333333333333335,2.0
"Caste, Festival",,,,
"Caste, Tradition",2.3094010767585034,2.3094010767585034,2.0,2.3094010767585034
"Culture, Attire",0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726
"Culture, Dance",1.7888543819998317,1.7888543819998317,1.7888543819998317,1.7888543819998317
"Culture, Gender",0.0,0.0,1.0,1.0
"Culture, Marriage",0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951
"Culture, Oral Tradition",2.3094010767585034,2.3094010767585034,2.3094010767585034,2.3094010767585034
"Culture, Region",0.0,0.0,0.0,0.0
"Culture, Religion",1.9215378456610457,1.9215378456610457,1.9215378456610457,1.7541160386140584
Daily Life & Social Context,1.798716441071476,1.764700743516791,1.7467883246888993,1.4180306099696196
Diversity & Inclusion,1.8614063020926197,1.8951913878591649,1.8048644534699165,1.7729383570131187
"Education, Rural",0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726
"Education, Youth & Women",1.8571814146758907,1.7401351026396188,1.7077737637257968,1.7433583239294308
"Festival, Attire",1.7638342073763935,1.7638342073763935,1.7638342073763935,1.7638342073763935
"Festival, Food",0.6666666666666666,0.0,0.0,0.0
"Folk Dance, Culture",0.0,0.0,0.0,0.0
"Folk, Festival",0.0,0.0,0.0,0.816496580927726
"Food, Religion",0.0,0.0,0.0,0.0
"Food, Tradition",2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903
"Handicraft, Culture",0.0,0.0,0.0,0.0
"History, Education",1.1547005383792517,1.1547005383792517,1.1547005383792515,1.1547005383792517
"Identity, Tradition",,,,
"Inclusion, Education",0.0,0.0,0.0,0.0
Indian Festivals & Rituals,1.7626341450853915,1.6992411984010125,1.821123766674247,1.2663748035843332
"Irony, Global Awareness",,,,
"LGBTQ+, Religion",2.3094010767585034,2.3094010767585034,2.3094010767585034,2.3094010767585034
"LGBTQ+, Tradition",0.0,0.0,0.0,0.0
"Labor, Gender",0.816496580927726,0.816496580927726,1.632993161855452,1.632993161855452
"Labor, Northeast",2.0701966780270626,2.0701966780270626,2.0701966780270626,2.0701966780270626
"Language Gap, Ritual",,,,
Language Hierarchy,0.0,0.0,0.0,0.0
"Music, Gender",0.0,0.0,0.0,0.0
"Nature Worship, Survival",,,,
"Northeast, Economy",0.0,0.0,0.0,0.8944271909999159
"Occupation, Culture",0.0,0.0,0.0,0.0
"Occupation, Faith",,,,
"Occupation, Religion",,,,
Occupations & Aspirations,1.9329528523128745,1.7223105636386493,1.7442056992014328,1.5541856252541004
Office Diversity,,,,
"Patriotism, Culture",,,,
Pluralism,0.0,0.0,0.0,0.0
"Pluralism, Art",,,,
"Pop Culture, Rural",0.0,0.0,0.0,0.0
"Poverty, Culture",,,,
"Protest, Gender Gap",,,,
"Protest, Religion",1.0,1.0,1.632993161855452,1.9148542155126764
"Region, Childhood",2.1908902300206643,2.1908902300206643,2.1908902300206643,2.1908902300206643
Regional Culture,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903
Regional Diversity,1.8367583425727378,1.769389307912222,1.8082833831678293,1.4063281154047693
Religion,1.9703687322875558,1.9703687322875558,1.9703687322875558,2.0452399702596544
Religion & Spirituality,1.8252997365718586,1.745362341269459,1.7793062634328292,1.4571699464906007
"Religion, Attire",,,,
"Religion, Austerity",2.3094010767585034,2.3094010767585034,2.3094010767585034,2.0
"Religion, Caste",1.1547005383792517,1.1547005383792517,1.1547005383792517,0.0
"Religion, Compassion",,,,
"Religion, Craft",2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903
"Religion, Culture",0.0,0.0,0.0,0.0
"Religion, Discipline",0.0,0.0,0.0,0.0
"Religion, Economy",0.0,0.0,0.0,0.0
"Religion, Education",0.0,0.0,0.0,2.3094010767585034
