dataset_name,model_name,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
dataset2,SD_api_free,3.883720930232558,3.488372093023256,4.0,1.069767441860465
dataset2,Stable Diffusion 3.5 Large,3.342857142857143,2.914285714285714,3.2,1.8571428571428572
dataset2,flux1-dev,2.323529411764706,2.1176470588235294,2.5588235294117645,2.4705882352941178
dataset2,flux1_1_pro,2.3333333333333335,2.0952380952380953,2.3333333333333335,3.0952380952380953
dataset2,openai_dalle_3,3.581818181818182,3.3636363636363638,3.5090909090909093,2.0545454545454547
dataset2,openai_gpt_image_1,4.735294117647059,4.735294117647059,4.852941176470588,1.1764705882352942
dataset2,sd_api_stable-diffusion-xl-1024-v1-0,3.8907563025210083,3.403361344537815,3.4873949579831933,1.3697478991596639
dataset2,sd_turbo,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0
dataset2,stable-diffusion-v1-5,1.0,1.0,1.0,1.0
dataset3,SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,2.7579617834394905,2.770700636942675,2.770700636942675,2.745222929936306
dataset3,SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,2.910828025477707,2.9235668789808917,2.9235668789808917,2.8471337579617835
dataset3,Stable Diffusion 3.5 Large,1.96,1.92,1.96,1.56
dataset3,flux1-dev,2.4328358208955225,2.4328358208955225,2.6417910447761193,2.671641791044776
dataset3,flux1_1_pro,2.2,2.257142857142857,2.6,2.4285714285714284
dataset3,openai_dalle_3,3.036363636363636,3.0,3.109090909090909,2.9272727272727272
dataset3,openai_gpt_image_1,4.333333333333333,4.333333333333333,4.393939393939394,4.151515151515151
dataset3,sd_turbo,1.0,1.0,1.0,1.0
dataset3,stable-diffusion-v1-5,1.0,1.0,1.0,1.0
dataset4,flux1-dev,1.7619047619047619,1.6031746031746033,1.6666666666666667,1.3934426229508197
dataset4,flux1_1_pro,1.903225806451613,1.3870967741935485,1.7741935483870968,1.3870967741935485
dataset4,openai_dalle_3,3.150943396226415,2.9245283018867925,3.0377358490566038,2.7735849056603774
dataset4,openai_gpt_image_1,3.90625,3.6875,3.75,3.8620689655172415
dataset4,sd_api_stable-diffusion-xl-1024-v1-0,1.3305785123966942,1.165289256198347,1.1818181818181819,1.1818181818181819
dataset4,sd_turbo,1.0,1.0,1.0,1.0
dataset4,stable-diffusion-v1-5,1.0,1.0,1.0,1.0
