dataset_name,model_name,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
Complex Indian Context Prompts (CIP),flux1-dev,1.316327806440788,1.1714298202883207,1.2443420336765105,0.953566787113697
Complex Indian Context Prompts (CIP),flux1_1_pro,1.5352489203096116,0.8032193289024988,1.5211766809360625,0.8032193289024988
Complex Indian Context Prompts (CIP),openai_dalle_3,1.7028960221102796,1.708002168569304,1.7316317799088037,1.6009793809507102
Complex Indian Context Prompts (CIP),openai_gpt_image_1,1.668748699541732,1.7536809360305043,1.7274625854492434,1.6801031282263905
Complex Indian Context Prompts (CIP),sd_api_stable-diffusion-xl-1024-v1-0,0.8305463036667101,0.6626601370991585,0.6831300510639732,0.6324555320336759
Complex Indian Context Prompts (CIP),sd_turbo,0.0,0.0,0.0,0.0
Complex Indian Context Prompts (CIP),stable-diffusion-v1-5,0.0,0.0,0.0,0.0
Detailed Indian Prompts (DIP),Stable Diffusion 3.5 Large,1.4702491806021265,1.468582545816731,1.4702491806021263,1.4020393310154624
Detailed Indian Prompts (DIP),flux1-dev,1.6626364660055304,1.6257760906346352,1.5926107072247988,1.655002148689373
Detailed Indian Prompts (DIP),flux1_1_pro,1.8278885279437134,1.8205179796655993,1.6662744636569615,1.7198788309870294
Detailed Indian Prompts (DIP),openai_dalle_3,1.7843313548324997,1.80534186769688,1.8626218804041441,1.8444566142959835
Detailed Indian Prompts (DIP),openai_gpt_image_1,1.328195228158332,1.2810252304406968,1.263435948622009,1.6099921093205989
Detailed Indian Prompts (DIP),sd_api_stable-diffusion-xl-1024-v1-0,1.8857624322815454,1.865824219033471,1.865824219033471,1.941997402542367
Detailed Indian Prompts (DIP),sd_turbo,0.0,0.0,0.0,0.0
Detailed Indian Prompts (DIP),stable-diffusion-v1-5,0.0,0.0,0.0,0.0
Short Simple Prompts (SSP),SD_api_free,1.2501162736619416,1.3697933381826932,1.430754634285492,0.3691228927963155
Short Simple Prompts (SSP),Stable Diffusion 3.5 Large,1.7015399187906508,1.5011382844589378,1.673320053068151,1.2072932269410794
Short Simple Prompts (SSP),flux1-dev,1.490679264886927,1.3552486335163512,1.285770028196432,1.7489492643904123
Short Simple Prompts (SSP),flux1_1_pro,1.6916821858393436,1.664691047429344,1.632993161855452,1.8187307797596277
Short Simple Prompts (SSP),openai_dalle_3,1.791863390656333,1.6817499303650436,1.5971354829324125,1.7577150763312832
Short Simple Prompts (SSP),openai_gpt_image_1,0.9714990272588447,0.9079688182367577,0.6292546143036821,0.6678362582091162
Short Simple Prompts (SSP),sd_api_stable-diffusion-xl-1024-v1-0,1.5773283353177872,1.6172760512512137,1.5174998741713144,1.007308430863962
Short Simple Prompts (SSP),sd_turbo,0.5142234633971142,0.5142234633971142,0.5142234633971142,0.0
Short Simple Prompts (SSP),stable-diffusion-v1-5,0.0,0.0,0.0,0.0
