model_name,category,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
SD_api_free,Indian Festivals & Rituals,3.8285714285714287,3.4,4.0,1.0
SD_api_free,Regional Diversity,4.125,3.875,4.0,1.375
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Art, History",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Art, Regional",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Arts, Music & Pop Culture",1.0,1.6666666666666667,1.6666666666666667,3.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Caste,1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Caste Discrimination,5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Caste, Dance, Religion",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Caste, Tradition",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Culture, Dance",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Culture, Oral Tradition",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Culture, Region",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Culture, Religion",3.0,3.0,3.0,3.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Daily Life & Social Context,1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Diversity & Inclusion,4.0,4.0,4.0,3.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Education, Youth & Women",4.333333333333333,4.333333333333333,4.333333333333333,3.6666666666666665
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Festival, Attire",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Festival, Food",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Folk Dance, Culture",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Folk, Festival",1.0,1.0,1.0,3.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Food, Religion",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Food, Tradition",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Handicraft, Culture",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Inclusion, Education",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Indian Festivals & Rituals,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"LGBTQ+, Religion",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"LGBTQ+, Tradition",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Music, Gender",3.0,3.0,3.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Northeast, Economy",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Occupation, Religion",5.0,5.0,3.0,3.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Occupations & Aspirations,2.0,2.0,2.0,2.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Pop Culture, Rural",3.0,3.0,3.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Protest, Religion",3.0,3.0,3.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Region, Childhood",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Regional Culture,5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Regional Diversity,1.6666666666666667,1.6666666666666667,2.3333333333333335,2.3333333333333335
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Religion,2.0,2.0,2.0,2.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Religion & Spirituality,1.0,1.0,1.0,1.6666666666666667
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Religion, Austerity",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Religion, Caste",3.0,3.0,3.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Religion, Compassion",1.0,1.0,1.0,3.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Religion, Craft",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Religion, Economy",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Religion, Education",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Religion, Minority",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Religion, Philosophy",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Religion, Plurality",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Religion, Syncretism",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Ritual, Folk Dance",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Ritual, Rural",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Rural, Water Crisis",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Signs, Language & Scripts",2.25,2.25,2.25,3.5
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Sports, Region",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Tradition, Festival",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Tribal, Nature",5.0,5.0,3.0,3.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Tribal, Rural",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Tribal, Tradition",5.0,5.0,5.0,5.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Unity, Patriotism",3.0,3.0,3.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Urban Poverty, Religion",1.0,1.0,1.0,1.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Water Crisis,5.0,5.0,3.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Art, Region",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Art, Regional",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Art, Tribal",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Arts, Music & Pop Culture",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Attire, Region",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Caste Discrimination,5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Caste, Dance, Religion",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Culture, Dance",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Culture, Gender",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Culture, Marriage",1.0,3.0,3.0,3.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Culture, Oral Tradition",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Culture, Region",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Culture, Religion",3.0,3.0,3.0,3.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Daily Life & Social Context,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Diversity & Inclusion,5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Education, Rural",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Education, Youth & Women",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Festival, Attire",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Festival, Food",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Folk Dance, Culture",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Food, Religion",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Handicraft, Culture",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"History, Education",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Inclusion, Education",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Indian Festivals & Rituals,1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"LGBTQ+, Tradition",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Labor, Northeast",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Music, Gender",3.0,3.0,3.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Northeast, Economy",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Occupation, Faith",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Occupations & Aspirations,1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Pop Culture, Rural",3.0,3.0,3.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Protest, Religion",3.0,3.0,3.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Region, Childhood",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Regional Diversity,1.6666666666666667,1.6666666666666667,2.3333333333333335,2.3333333333333335
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Religion,3.0,3.0,3.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Religion & Spirituality,3.0,2.0,3.0,3.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Culture",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Discipline",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Economy",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Education",5.0,5.0,5.0,3.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Plurality",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Region",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Syncretism",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Religion, Theatre",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Ritual, Folk Dance",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Rural, Labor",3.0,3.0,3.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Rural, Water Crisis",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Signs, Language & Scripts",2.5,2.5,2.5,3.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Sports, Childhood",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Sports, Region",3.0,3.0,3.0,3.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Tourism, Art",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Tradition, Festival",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Tradition, Knowledge",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Tradition, Region",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Tribal, Nature",5.0,5.0,3.0,3.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Tribal, Tradition",5.0,5.0,5.0,5.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,"Urban Poverty, Religion",1.0,1.0,1.0,1.0
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Water Crisis,5.0,5.0,3.0,1.0
Stable Diffusion 3.5 Large,Daily Life & Social Context,3.1333333333333333,2.6,2.8666666666666667,1.5333333333333334
Stable Diffusion 3.5 Large,"Education, Youth & Women",2.2,2.2,2.2,1.8
Stable Diffusion 3.5 Large,Indian Festivals & Rituals,2.25,2.0625,2.0625,1.8125
Stable Diffusion 3.5 Large,Occupations & Aspirations,2.3846153846153846,2.3846153846153846,2.3846153846153846,1.6153846153846154
Stable Diffusion 3.5 Large,Regional Diversity,4.071428571428571,3.4285714285714284,4.0,1.7857142857142858
Stable Diffusion 3.5 Large,Religion & Spirituality,2.111111111111111,2.111111111111111,2.185185185185185,1.7407407407407407
flux1-dev,"Arts, Music & Pop Culture",2.0,2.0,3.0,3.0
flux1-dev,"Caste, Dance, Religion",5.0,5.0,5.0,5.0
