model_name,category,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
SD_api_free,Indian Festivals & Rituals,1.2507554652906585,1.3448775602908665,1.4744195615489715,0.0
SD_api_free,Regional Diversity,1.2583057392117916,1.454876856186346,1.2649110640673518,0.806225774829855
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Art, History",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Art, Regional",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Arts, Music & Pop Culture",0.0,1.1547005383792517,1.1547005383792517,2.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Caste,,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Caste Discrimination,,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Caste, Dance, Religion",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Caste, Tradition",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Culture, Dance",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Culture, Oral Tradition",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Culture, Region",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Culture, Religion",2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8284271247461903
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Daily Life & Social Context,0.0,0.0,0.0,0.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Diversity & Inclusion,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.8284271247461903
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Education, Youth & Women",1.1547005383792517,1.1547005383792517,1.1547005383792517,2.3094010767585034
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Festival, Attire",0.0,0.0,0.0,0.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Festival, Food",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Folk Dance, Culture",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Folk, Festival",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Food, Religion",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Food, Tradition",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Handicraft, Culture",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Inclusion, Education",0.0,0.0,0.0,0.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Indian Festivals & Rituals,2.3094010767585034,2.3094010767585034,2.3094010767585034,2.3094010767585034
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"LGBTQ+, Religion",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"LGBTQ+, Tradition",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Music, Gender",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Northeast, Economy",,,,
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,"Occupation, Religion",,,,
