model_name,super_category,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
SD_api_free,Cultural aspects,3.8285714285714287,3.4,4.0,1.0
SD_api_free,Regional aspects,4.125,3.875,4.0,1.375
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Cultural aspects,2.8545454545454545,2.890909090909091,2.8545454545454545,3.1818181818181817
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Regional aspects,3.4,3.4,3.2666666666666666,3.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Social aspects,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.1333333333333333
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Cultural aspects,2.15,2.15,2.2,2.15
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Regional aspects,4.071428571428571,4.071428571428571,4.0,3.7857142857142856
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Social aspects,3.125,3.125,3.125,3.0625
Stable Diffusion 3.5 Large,Cultural aspects,2.1864406779661016,2.0847457627118646,2.1186440677966103,1.7796610169491525
Stable Diffusion 3.5 Large,Regional aspects,4.071428571428571,3.4285714285714284,4.0,1.7857142857142858
Stable Diffusion 3.5 Large,Social aspects,2.696969696969697,2.4545454545454546,2.5757575757575757,1.606060606060606
flux1-dev,Cultural aspects,2.1884057971014492,1.9855072463768115,2.3043478260869565,2.4782608695652173
flux1-dev,Regional aspects,2.7142857142857144,2.9047619047619047,3.2857142857142856,2.5238095238095237
flux1-dev,Social aspects,2.511111111111111,2.422222222222222,2.7333333333333334,2.7333333333333334
flux1_1_pro,Cultural aspects,2.5454545454545454,2.5,2.727272727272727,2.8636363636363638
flux1_1_pro,Regional aspects,3.0,2.3333333333333335,3.533333333333333,2.7333333333333334
flux1_1_pro,Social aspects,1.6428571428571428,1.3571428571428572,1.5,2.4285714285714284
openai_dalle_3,Cultural aspects,3.1777777777777776,3.1333333333333333,3.2666666666666666,2.422222222222222
openai_dalle_3,Regional aspects,3.72,3.72,3.72,3.4
openai_dalle_3,Social aspects,3.2,2.9,3.1,2.0
openai_gpt_image_1,Cultural aspects,4.575757575757576,4.575757575757576,4.666666666666667,2.8484848484848486
openai_gpt_image_1,Regional aspects,4.461538461538462,4.461538461538462,4.615384615384615,1.7692307692307692
openai_gpt_image_1,Social aspects,4.523809523809524,4.523809523809524,4.571428571428571,2.857142857142857
sd_api_stable-diffusion-xl-1024-v1-0,Cultural aspects,3.851063829787234,3.5106382978723403,3.4680851063829787,1.3829787234042554
sd_api_stable-diffusion-xl-1024-v1-0,Regional aspects,4.333333333333333,3.8333333333333335,3.8333333333333335,1.3333333333333333
sd_api_stable-diffusion-xl-1024-v1-0,Social aspects,3.9523809523809526,3.4761904761904763,3.8095238095238093,1.5238095238095237
sd_turbo,Cultural aspects,1.0,1.0,1.0,1.0
sd_turbo,Regional aspects,1.0833333333333333,1.0833333333333333,1.0833333333333333,1.0
sd_turbo,Social aspects,1.0,1.0,1.0,1.0
stable-diffusion-v1-5,Cultural aspects,1.0,1.0,1.0,1.0
stable-diffusion-v1-5,Regional aspects,1.0,1.0,1.0,1.0
stable-diffusion-v1-5,Social aspects,1.0,1.0,1.0,1.0
