model_name,super_category,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
SD_api_free,Cultural aspects,1.2507554652906585,1.3448775602908665,1.4744195615489715,0.0
SD_api_free,Regional aspects,1.2583057392117916,1.454876856186346,1.2649110640673518,0.806225774829855
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Cultural aspects,1.8798954050709136,1.8626218804041437,1.840070266554673,1.9349697010826148
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Regional aspects,1.8822478962286406,1.8822478962286406,1.8309508328682538,2.0
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,Social aspects,1.7681732894739688,1.7681732894739688,1.7681732894739688,1.7952683659406263
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Cultural aspects,1.7475257233718062,1.6878145480822082,1.7423826892785166,1.8052629611705768
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Regional aspects,1.5853162186855698,1.5853162186855698,1.5869840952317444,1.8329725474726457
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,Social aspects,1.963374317260318,1.963374317260318,1.963374317260318,1.9989916813072244
Stable Diffusion 3.5 Large,Cultural aspects,1.623900968094681,1.5004382761233046,1.543448286308066,1.232712129190802
Stable Diffusion 3.5 Large,Regional aspects,1.2744954391203698,1.372442306109034,1.3877773329774217,1.2577800213115893
Stable Diffusion 3.5 Large,Social aspects,1.7407765595569784,1.5225576567676569,1.639937175441163,1.4564381625088383
flux1-dev,Cultural aspects,1.5075824269616394,1.355736761096303,1.4481666688497092,1.6681153124565977
flux1-dev,Regional aspects,1.707127913861675,1.609495632325913,1.4540583599999397,1.7781745588959377
flux1-dev,Social aspects,1.6042871855554335,1.5737749765349798,1.321156518151633,1.7372915179041821
flux1_1_pro,Cultural aspects,1.8733696223841896,1.8363259577906677,1.7568952049281044,1.948056981771409
flux1_1_pro,Regional aspects,2.0,1.447493728911492,1.4074631010979937,1.0327955589886446
flux1_1_pro,Social aspects,1.2236643728386054,1.0959280090672932,1.1706281947614157,1.7089865185644155
openai_dalle_3,Cultural aspects,1.8984310374728928,1.9259000257258703,1.9353176859251162,1.840070266554673
openai_dalle_3,Regional aspects,1.6206994374857624,1.6206994374857624,1.6206994374857624,1.7320508075688774
openai_dalle_3,Social aspects,1.8002848777417535,1.5656570669473096,1.565657066947309,1.7541160386140584
openai_gpt_image_1,Cultural aspects,1.0821716920598006,0.9617389068462006,0.8289628985542639,1.9630621624424054
openai_gpt_image_1,Regional aspects,1.3335897189396513,1.3335897189396513,1.1340872303988994,1.5048639090015363
openai_gpt_image_1,Social aspects,1.2344267996967353,1.2344267996967353,1.2125936150505345,1.9947666722338868
sd_api_stable-diffusion-xl-1024-v1-0,Cultural aspects,1.6013407888154676,1.692340037081816,1.6791698755219244,1.0744703748796367
sd_api_stable-diffusion-xl-1024-v1-0,Regional aspects,0.9847319278346618,1.0298573010888745,1.0298573010888745,1.1547005383792517
sd_api_stable-diffusion-xl-1024-v1-0,Social aspects,1.666782806638702,1.6999009330976056,1.4010117465793877,1.0873573971677286
sd_turbo,Cultural aspects,0.0,0.0,0.0,0.0
sd_turbo,Regional aspects,0.5773502691896257,0.5773502691896257,0.5773502691896257,0.0
sd_turbo,Social aspects,0.0,0.0,0.0,0.0
stable-diffusion-v1-5,Cultural aspects,0.0,0.0,0.0,0.0
stable-diffusion-v1-5,Regional aspects,0.0,0.0,0.0,0.0
stable-diffusion-v1-5,Social aspects,0.0,0.0,0.0,0.0
