model_name,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
SD_api_free,3.883720930232558,3.488372093023256,4.0,1.069767441860465
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,2.7579617834394905,2.770700636942675,2.770700636942675,2.745222929936306
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,2.910828025477707,2.9235668789808917,2.9235668789808917,2.8471337579617835
Stable Diffusion 3.5 Large,2.7666666666666666,2.5,2.683333333333333,1.7333333333333334
flux1-dev,2.1818181818181817,2.0606060606060606,2.303030303030303,2.204081632653061
flux1_1_pro,2.1666666666666665,1.9444444444444444,2.259259259259259,2.388888888888889
openai_dalle_3,3.2576687116564416,3.098159509202454,3.2208588957055215,2.5828220858895707
openai_gpt_image_1,4.333333333333333,4.262626262626263,4.343434343434343,3.0104166666666665
sd_api_stable-diffusion-xl-1024-v1-0,2.6,2.275,2.325,1.275
sd_turbo,1.0198511166253101,1.0198511166253101,1.0198511166253101,1.0
stable-diffusion-v1-5,1.0,1.0,1.0,1.0
