model_name,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
SD_api_free,1.2501162736619416,1.3697933381826932,1.430754634285492,0.3691228927963155
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,1.8446084772730411,1.8252945370506017,1.8252945370506024,1.93120282233879
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,1.8857624322815454,1.865824219033471,1.865824219033471,1.941997402542367
Stable Diffusion 3.5 Large,1.7428525508503592,1.5610812886957441,1.7001400502535637,1.294677749940299
flux1-dev,1.5205104430366398,1.4343019088920599,1.4458380349965023,1.6010200829853602
flux1_1_pro,1.6883326952113509,1.5578161885339898,1.6312965451253072,1.6956973220771707
openai_dalle_3,1.7658941604373828,1.7328158911642524,1.7356983149327827,1.7701780301073209
openai_gpt_image_1,1.3815315565068962,1.4112374135050125,1.3492740380209964,1.936125518770106
sd_api_stable-diffusion-xl-1024-v1-0,1.7944591614211696,1.6641054239214186,1.6448855691399489,0.843012132811234
sd_turbo,0.28143728067320806,0.28143728067320806,0.28143728067320806,0.0
stable-diffusion-v1-5,0.0,0.0,0.0,0.0
