column,role,metric_group,dtype,non_missing,missing_rate,unique_values
Unnamed: 0,metadata_or_annotation,,int64,1870,0.0,1870
dataset_name,metadata_or_annotation,,str,1870,0.0,3
model_name,metadata_or_annotation,,str,1870,0.0,9
file_name,metadata_or_annotation,,str,1870,0.0,535
manual_eval_negative,metadata_or_annotation,,str,1864,0.0032085561497326204,668
manual_eval_positive.,metadata_or_annotation,,str,138,0.9262032085561497,82
r1_d2_cultural_clues,metric,d2,float64,698,0.6267379679144385,3
r1_d2_ethnic_representation,metric,d2,float64,698,0.6267379679144385,3
r1_d2_setting_accuracy,metric,d2,float64,698,0.6267379679144385,4
r1_d2_pose_and_action_matching,metric,d2,float64,698,0.6267379679144385,3
r1_d2_identify_bias,metric,d2,float64,698,0.6267379679144385,3
r1_d3_regional_embedding,metric,d3,float64,643,0.6561497326203208,4
r1_d3_cultural_layering,metric,d3,float64,643,0.6561497326203208,4
r1_d3_social_sensitivity,metric,d3,float64,643,0.6561497326203208,4
r1_d3_mutli_character_accuracy,metric,d3,float64,643,0.6561497326203208,4
r1_d3_occupational_details,metric,d3,float64,643,0.6561497326203208,4
r1_d4_narrative_comprehension,metric,d4,float64,528,0.7176470588235294,3
r1_d4_temporal_coherence,metric,d4,float64,528,0.7176470588235294,3
r1_d4_complex_scene_understanding,metric,d4,float64,528,0.7176470588235294,3
r1_d4_emotion_and_symbolism,metric,d4,float64,528,0.7176470588235294,3
r1_d4_cross_cultural_nuance,metric,d4,float64,528,0.7176470588235294,3
r1_d4_generalization_vs_specificity,metric,d4,float64,520,0.7219251336898396,3
r1_com_cultural_accuracy,metric,com,float64,1869,0.0005347593582887701,3
r1_com_regional_accuracy,metric,com,float64,1869,0.0005347593582887701,3
r1_com_social_accuracy,metric,com,float64,1869,0.0005347593582887701,3
r1_com_bias_stereotype,metric,com,float64,1861,0.004812834224598931,3
category,metadata_or_annotation,,str,1199,0.3588235294117647,91
super_category,metadata_or_annotation,,str,1199,0.3588235294117647,3
com_mean_score,metadata_or_annotation,,float64,1869,0.0005347593582887701,10
d2_mean_score,metadata_or_annotation,,float64,698,0.6267379679144385,11
d3_mean_score,metadata_or_annotation,,float64,643,0.6561497326203208,12
d4_mean_score,metadata_or_annotation,,float64,528,0.7176470588235294,14
dataset_specific_mean_score,metadata_or_annotation,,float64,1869,0.0005347593582887701,22
overall_mean_score,metadata_or_annotation,,float64,1869,0.0005347593582887701,51
