word,count
generation,440
prompt,398
images,361
all,313
model,305
followed,236
details,190
distortion,183
many,179
distorted,160
almost,157
followint,157
deformed,132
indian,122
poor,122
right,90
generated,75
capable,70
basic,70
dress,62
women,56
woman,54
than,54
person,54
face,53
only,51
why,48
attire,47
per,46
white,46
too,43
specific,42
other,39
school,38
temple,38
skin,37
wearing,36
background,36
fine,33
indicator,33
picture,32
context,32
representation,31
tone,30
kind,28
present,28
tribal,27
well,26
jain,25
rather,24
saffaron,24
scene,24
idol,23
dance,23
muslim,23
dressed,22
grand,22
generic,21
promot,21
small,20
girl,20
sketch,19
wear,19
people,19
random,19
street,19
faces,19
quite,19
hand,19
family,18
traditional,18
what,18
nothing,18
man,17
more,17
shows,17
sitting,17
accurate,17
cartoonish,16
some,16
tree,16
home,16
men,16
better,16
saree,15
hindi,15
sikh,15
child,15
two,15
kerela,15
which,15
also,15
setup,15
fonts,15
father,15
banana,14
art,14
monk,14
correct,14
just,14
