model_name,score_mean,ci95_low,ci95_high,score_median,score_std,n
openai_gpt_image_1,3.9840067340067336,3.8021885521885523,4.158270202020202,4.0,1.2684719062043808,198
SD_api_free,3.11046511627907,2.9127906976744184,3.308139534883721,3.25,0.9279996285201387,86
openai_dalle_3,3.039877300613497,2.8220858895705523,3.2607361963190185,3.0,1.483428622711281,163
SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,2.9012738853503186,2.617754777070064,3.207085987261146,2.5,1.844464596804432,157
SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,2.761146496815287,2.477707006369427,3.0414012738853504,2.5,1.8050729682505366,157
Stable Diffusion 3.5 Large,2.4208333333333334,2.183333333333333,2.654270833333333,2.5,1.3204847488664135,120
flux1_1_pro,2.189814814814815,1.9443287037037036,2.4584490740740734,2.0,1.405459303301385,108
flux1-dev,2.1843434343434343,2.0126262626262625,2.3636363636363638,2.0,1.2258250399882753,198
sd_api_stable-diffusion-xl-1024-v1-0,2.11875,1.9708333333333334,2.277135416666666,1.5,1.259882482731182,240
sd_turbo,1.0148883374689825,1.0,1.0372208436724566,1.0,0.21107796050490613,403
stable-diffusion-v1-5,1.0,1.0,1.0,1.0,0.0,196
