model_a,model_b,mean_a,mean_b,mean_diff_a_minus_b,cliffs_delta_a_vs_b,mannwhitney_u,p_value_uncorrected,n_a,n_b,p_value_bh_fdr
openai_gpt_image_1,stable-diffusion-v1-5,3.9840067340067336,1.0,2.9840067340067336,0.8939393939393939,36750.0,1.5694344736468195e-64,198,196,9.416606841880917e-64
openai_gpt_image_1,sd_turbo,3.9840067340067336,1.0148883374689825,2.969118396537751,0.8906559390430359,75431.5,1.3419409320060766e-107,198,403,4.8309873552218755e-106
SD_api_free,stable-diffusion-v1-5,3.11046511627907,1.0,2.11046511627907,0.9418604651162791,16366.0,3.801347509550937e-56,86,196,1.5205390038203748e-55
SD_api_free,sd_turbo,3.11046511627907,1.0148883374689825,2.0955767788100874,0.9341277627099083,33516.5,3.0000430575793945e-96,86,403,5.40007750364291e-95
openai_dalle_3,stable-diffusion-v1-5,3.039877300613497,1.0,2.039877300613497,0.7668711656441718,28224.0,4.092223961866186e-49,163,196,1.473200626271827e-48
openai_dalle_3,sd_turbo,3.039877300613497,1.0148883374689825,2.0249889631445144,0.7614821355173621,57855.0,3.1899945939842456e-84,163,403,3.8279935127810945e-83
openai_gpt_image_1,sd_api_stable-diffusion-xl-1024-v1-0,3.9840067340067336,2.4282115869017633,1.5557951471049702,0.5194259980154187,59718.0,1.3466160965929846e-26,198,397,3.0298862173342155e-26
sd_api_stable-diffusion-xl-1024-v1-0,stable-diffusion-v1-5,2.4282115869017633,1.0,1.4282115869017633,0.5415617128463476,59976.0,8.489648781769258e-36,397,196,2.3509796626437947e-35
Stable Diffusion 3.5 Large,stable-diffusion-v1-5,2.4208333333333334,1.0,1.4208333333333334,0.65,19404.0,1.2454635802097486e-37,120,196,3.736390740629246e-37
sd_api_stable-diffusion-xl-1024-v1-0,sd_turbo,2.4282115869017633,1.0148883374689825,1.4133232494327808,0.5361989111887544,122889.0,3.595671811059803e-63,397,403,1.8492026456878988e-62
Stable Diffusion 3.5 Large,sd_turbo,2.4208333333333334,1.0148883374689825,1.4059449958643508,0.6433829611248966,39737.0,1.5792723542656085e-65,120,403,1.1370760950712382e-64
flux1_1_pro,stable-diffusion-v1-5,2.189814814814815,1.0,1.1898148148148149,0.6018518518518519,16954.0,8.561061767742905e-34,108,196,2.2014158831338898e-33
flux1-dev,stable-diffusion-v1-5,2.1843434343434343,1.0,1.1843434343434343,0.6212121212121212,31458.0,1.3161820646582065e-38,198,196,4.307504938881403e-38
flux1_1_pro,sd_turbo,2.189814814814815,1.0148883374689825,1.1749264773458323,0.5956024262475875,34723.5,3.7516322665332925e-59,108,403,1.6882345199399816e-58
flux1-dev,sd_turbo,2.1843434343434343,1.0148883374689825,1.1694550968744517,0.6143193723838886,64406.5,7.35489724158706e-67,198,403,6.619407517428354e-66
SD_api_free,flux1-dev,3.11046511627907,2.1843434343434343,0.9261216819356357,0.4680526192154099,12499.0,1.7936515240985803e-10,86,198,3.2285727433774444e-10
SD_api_free,flux1_1_pro,3.11046511627907,2.189814814814815,0.9206503014642551,0.44584409991386736,6714.5,6.272299093802886e-08,86,108,9.817511625082779e-08
SD_api_free,Stable Diffusion 3.5 Large,3.11046511627907,2.4208333333333334,0.6896317829457366,0.3183139534883721,6802.5,7.055577908126814e-05,86,120,9.407437210835754e-05
SD_api_free,sd_api_stable-diffusion-xl-1024-v1-0,3.11046511627907,2.4282115869017633,0.6822535293773067,0.2863628375607756,21959.5,1.606289246934507e-05,86,397,2.2240928034477787e-05
openai_dalle_3,sd_api_stable-diffusion-xl-1024-v1-0,3.039877300613497,2.4282115869017633,0.6116657137117336,0.2284773840614424,39748.0,1.0500711463083073e-05,163,397,1.5121024506839623e-05
Stable Diffusion 3.5 Large,flux1-dev,2.4208333333333334,2.1843434343434343,0.23648989898989914,0.10244107744107744,13097.0,0.11479906697073726,120,198,0.14250918658436348
Stable Diffusion 3.5 Large,flux1_1_pro,2.4208333333333334,2.189814814814815,0.2310185185185185,0.10733024691358024,7175.5,0.14967380613894504,120,108,0.17960856736673406
SD_api_free,openai_dalle_3,3.11046511627907,3.039877300613497,0.07058781566557304,-0.004066200599229562,6980.5,0.9581090424755888,86,163,0.9581090424755888
sd_turbo,stable-diffusion-v1-5,1.0148883374689825,1.0,0.014888337468982549,0.004962779156327543,39690.0,0.32483752791257736,403,196,0.3772306775758963
flux1-dev,flux1_1_pro,2.1843434343434343,2.189814814814815,-0.005471380471380627,0.038112607557052,11099.5,0.569490910787399,198,108,0.6029903761278342
Stable Diffusion 3.5 Large,sd_api_stable-diffusion-xl-1024-v1-0,2.4208333333333334,2.4282115869017633,-0.0073782535684299155,0.027099076406381192,24465.5,0.6375550344830243,120,397,0.6557708926111108
flux1_1_pro,sd_api_stable-diffusion-xl-1024-v1-0,2.189814814814815,2.4282115869017633,-0.23839677208694843,-0.037783375314861464,20628.0,0.5268661755885999,108,397,0.574763100642109
