super_category,model_name,score_mean,ci95_low,ci95_high,score_median,score_std,n
Cultural aspects,openai_gpt_image_1,4.1893939393939394,3.953011363636364,4.402272727272727,4.1,0.9352710488045349,66
Social aspects,openai_gpt_image_1,4.159523809523809,3.81547619047619,4.451249999999999,4.1,1.126252045570168,42
Regional aspects,SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,3.969642857142857,3.375,4.525,5.0,1.5851357743992855,28
Regional aspects,openai_gpt_image_1,3.90576923076923,3.4961057692307693,4.215384615384615,4.1,0.9409917027346121,26
Regional aspects,openai_dalle_3,3.64,3.0180000000000002,4.20005,4.35,1.5941951992567702,25
Regional aspects,SD_api_free,3.3843749999999995,2.91875,3.8093749999999997,4.1,0.9310780042509863,16
Regional aspects,sd_api_stable-diffusion-xl-1024-v1-0,3.283333333333333,2.879166666666667,3.687604166666666,3.025,0.7505553499465133,12
Regional aspects,Stable Diffusion 3.5 Large,3.2821428571428575,2.9249107142857143,3.646428571428572,3.9,1.0278721535391278,28
Regional aspects,SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,3.2399999999999998,2.349666666666667,4.096749999999999,3.7,1.794853754488092,15
Social aspects,sd_api_stable-diffusion-xl-1024-v1-0,3.1499999999999995,2.8416071428571423,3.450029761904761,3.575,1.0338184017538465,42
Social aspects,SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,3.1109375000000004,2.415625,3.7984375,3.9,1.9599923623534534,32
Cultural aspects,SD_api_free,3.0714285714285716,2.8371071428571426,3.295714285714285,3.2,1.0135163150689648,70
Cultural aspects,openai_dalle_3,3.022222222222222,2.582222222222222,3.444583333333333,3.9,1.4895299577213932,45
Cultural aspects,sd_api_stable-diffusion-xl-1024-v1-0,3.0138297872340423,2.6488829787234045,3.335186170212765,3.45,1.2133183982842966,47
Cultural aspects,SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,2.9363636363636365,2.4453863636363633,3.413659090909091,3.45,1.8204205493322074,55
Regional aspects,flux1_1_pro,2.9166666666666665,2.3565833333333335,3.47,2.35,1.1727054597118984,15
Regional aspects,flux1-dev,2.8333333333333335,2.3618452380952375,3.2999999999999994,2.75,1.1512312249645302,21
Social aspects,openai_dalle_3,2.795,2.46375,3.13,2.8,1.120313600784425,40
Cultural aspects,flux1_1_pro,2.625,2.135227272727273,3.1227840909090907,1.9,1.6587155299515122,44
Social aspects,flux1-dev,2.542222222222222,2.227694444444444,2.868916666666667,2.55,1.1629193063713892,45
Social aspects,SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,2.2883333333333336,1.7099583333333332,2.926708333333333,1.1,1.7322341231690552,30
Social aspects,Stable Diffusion 3.5 Large,2.284848484848485,1.8211742424242425,2.7742803030303027,2.35,1.4227770407114944,33
Cultural aspects,flux1-dev,2.22536231884058,1.9687862318840579,2.464601449275362,2.1,1.0715444868892652,69
Cultural aspects,SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,2.13125,1.6350000000000002,2.6537812499999998,1.0,1.703792432735324,40
Cultural aspects,Stable Diffusion 3.5 Large,2.0194915254237285,1.723665254237288,2.3331144067796603,1.45,1.176970722585526,59
Social aspects,flux1_1_pro,1.724404761904762,1.4469642857142857,2.0279910714285716,1.75,0.816993914565702,28
Regional aspects,sd_turbo,1.0645833333333334,1.0,1.1937499999999999,1.0,0.4474464586219599,48
Cultural aspects,stable-diffusion-v1-5,1.0,1.0,1.0,1.0,0.0,65
Cultural aspects,sd_turbo,1.0,1.0,1.0,1.0,0.0,85
Regional aspects,stable-diffusion-v1-5,1.0,1.0,1.0,1.0,0.0,28
Social aspects,sd_turbo,1.0,1.0,1.0,1.0,0.0,67
Social aspects,stable-diffusion-v1-5,1.0,1.0,1.0,1.0,0.0,33
